Player,Pos,Club,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,GlsA,AstA,G+AA,G-PKA,G+A-PK,xGA,xAG,xGA+XAG,npxG,npxG+xAG
Luis Abram,DF,Granada,25,1996,8,6,560,6.2,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,1,10,1,0,0,0,0,0,0.05,0,0.05,0.05,0.05
Marcos Acuña,DF,Sevilla,29,1991,31,26,"2,260",25.1,1,3,4,1,0,0,10,0,1.2,1.2,2.9,4.1,73,131,153,0.04,0.12,0.16,0.04,0.16,0.05,0.11,0.16,0.05,0.16
Martin Agirregabiria,DF,Alaves,25,1996,24,17,"1,616",18,0,1,1,0,0,0,4,0,0.2,0.2,0.7,0.8,15,57,40,0,0.06,0.06,0,0.06,0.01,0.04,0.05,0.01,0.05
Julen Agirrezabala,GK,Athletic Club,20,2000,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Agüero,FW,Barcelona,33,1988,4,2,151,1.7,1,0,1,1,0,0,0,0,1,1,0.1,1.1,4,3,13,0.6,0,0.6,0.6,0.6,0.61,0.07,0.68,0.61,0.68
Álvaro Aguirre,FW,Rayo Vallecano,21,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joseph Aidoo,DF,Celta Vigo,25,1995,32,30,"2,637",29.3,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,25,110,3,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
Carlos Akapo,DF,Cadiz,28,1993,25,21,"1,844",20.5,0,0,0,0,0,0,4,0,0.5,0.5,0.3,0.8,35,51,52,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
Ilias Akhomach,FW,Barcelona,17,2004,2,2,124,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,7,11,13,0,0,0,0,0,0.11,0.43,0.54,0.11,0.54
Paul Akouokou,MF,Betis,23,1997,8,6,516,5.7,0,0,0,0,0,0,2,1,0,0,0.1,0.1,3,30,5,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
David Alaba,DF,Real Madrid,29,1992,30,30,"2,642",29.4,2,3,5,2,0,0,2,0,1.6,1.6,2.2,3.8,40,154,76,0.07,0.1,0.17,0.07,0.17,0.06,0.07,0.13,0.06,0.13
Tomás Alarcón,MF,Cadiz,22,1999,23,16,"1,425",15.8,0,1,1,0,0,0,5,0,1.1,1.1,1.1,2.2,6,55,13,0,0.06,0.06,0,0.06,0.07,0.07,0.14,0.07,0.14
Jordi Alba,DF,Barcelona,32,1989,30,30,"2,644",29.4,2,10,12,2,0,0,11,0,1.5,1.5,7.1,8.7,47,291,213,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29
Raúl Albiol,DF,Villarreal,35,1985,28,28,"2,465",27.4,0,0,0,0,0,0,8,0,0.4,0.4,0.1,0.5,11,90,0,0,0,0,0,0,0.01,0,0.02,0.01,0.02
Paco Alcácer,FW,Villarreal,27,1993,18,10,787,8.7,1,3,4,1,0,0,1,0,3.9,3.9,1.6,5.5,4,10,45,0.11,0.34,0.46,0.11,0.46,0.45,0.19,0.63,0.45,0.63
Rubén Alcaraz,MF,Cadiz,30,1991,14,12,"1,105",12.3,2,0,2,2,0,0,7,0,1.3,1.3,0.9,2.3,26,87,21,0.16,0,0.16,0.16,0.16,0.11,0.08,0.18,0.11,0.18
Omar Alderete,DF,Valencia,24,1996,29,28,"2,403",26.7,2,0,2,2,0,0,15,0,0.8,0.8,0.1,1,17,89,3,0.07,0,0.07,0.07,0.07,0.03,0.01,0.04,0.03,0.04
Iván Alejo,"MF,FW",Cadiz,26,1995,20,11,"1,065",11.8,2,2,4,2,0,0,7,0,1.4,1.4,1.8,3.2,63,25,88,0.17,0.17,0.34,0.17,0.34,0.12,0.15,0.27,0.12,0.27
Carles Aleñá,MF,Getafe,23,1998,33,30,"2,320",25.8,1,2,3,1,0,0,6,1,1.8,1.8,1.3,3.1,33,81,65,0.04,0.08,0.12,0.04,0.12,0.07,0.05,0.12,0.07,0.12
